wedo	w-ewe-d-o
vijka	v-ivi-j-k-a
melryjohtubun	m-eme-l-r-y-j-o-h-t-u-b-u-n
tefhe	t-ete-f-h-e
xaboq	x-axa-b-o-q
giddaw	g-igi-d-d-a-w
vumek	v-uvu-m-e-k
risko	r-iri-s-k-o
zyq	z-yzy-q
kobe	k-oko-b-e
dawxan	d-ada-w-x-a-n
muf	m-umu-f
myc	m-ymy-c
cavabdiv	c-aca-v-a-b-d-i-v
retmig	r-ere-t-m-i-g
zepwefak	z-eze-p-w-e-f-a-k
vab	v-ava-b
dyxogixzo	d-ydy-x-o-g-i-x-z-o
giqwiqkannywjaf	g-igi-q-w-i-q-k-a-n-n-y-w-j-a-f
zuniratna	z-uzu-n-i-r-a-t-n-a
nucxuran	n-unu-c-x-u-r-a-n
xuwtohoc	x-uxu-w-t-o-h-o-c
lysor	l-yly-s-o-r
zikjydfel	z-izi-k-j-y-d-f-e-l
zorfyzic	z-ozo-r-f-y-z-i-c
tadecgecoktuk	t-ata-d-e-c-g-e-c-o-k-t-u-k
sahifbeh	s-asa-h-i-f-b-e-h
larwu	l-ala-r-w-u
nyjy	n-yny-j-y
lafyjar	l-ala-f-y-j-a-r
cihjo	c-ici-h-j-o
xemsix	x-exe-m-s-i-x
sifum	s-isi-f-u-m
nozdoznaviv	n-ono-z-d-o-z-n-a-v-i-v
tykkydy	t-yty-k-k-y-d-y
xeja	x-exe-j-a
vewuxo	v-eve-w-u-x-o
buhi	b-ubu-h-i
xiwekxoj	x-ixi-w-e-k-x-o-j
cib	c-ici-b
jacypqihetben	j-aja-c-y-p-q-i-h-e-t-b-e-n
liglezo	l-ili-g-l-e-z-o
nok	n-ono-k
gikikotiha	g-igi-k-i-k-o-t-i-h-a
wupol	w-uwu-p-o-l
myqlorehovnu	m-ymy-q-l-o-r-e-h-o-v-n-u
dek	d-ede-k
tinadetydhog	t-iti-n-a-d-e-t-y-d-h-o-g
qinydve	q-iqi-n-y-d-v-e
famu	f-afa-m-u
huvdefyciz	h-uhu-v-d-e-f-y-c-i-z
boqha	b-obo-q-h-a
weldotyx	w-ewe-l-d-o-t-y-x
reqo	r-ere-q-o
cih	c-ici-h
xixxixambu	x-ixi-x-x-i-x-a-m-b-u
nyb	n-yny-b
cogude	c-oco-g-u-d-e
fisrus	f-ifi-s-r-u-s
rusdop	r-uru-s-d-o-p
totogegydre	t-oto-t-o-g-e-g-y-d-r-e
wupve	w-uwu-p-v-e
pujcubazhom	p-upu-j-c-u-b-a-z-h-o-m
lipgabaxu	l-ili-p-g-a-b-a-x-u
lehnilutup	l-ele-h-n-i-l-u-t-u-p
cac	c-aca-c
waloq	w-awa-l-o-q
hexuwamseru	h-ehe-x-u-w-a-m-s-e-r-u
rofpe	r-oro-f-p-e
zec	z-eze-c
vupemnozgig	v-uvu-p-e-m-n-o-z-g-i-g
cury	c-ucu-r-y
xepuz	x-exe-p-u-z
reza	r-ere-z-a
tawtaq	t-ata-w-t-a-q
duwis	d-udu-w-i-s
tazeh	t-ata-z-e-h
zezza	z-eze-z-z-a
zadeb	z-aza-d-e-b
tizohzo	t-iti-z-o-h-z-o
jeflarji	j-eje-f-l-a-r-j-i
vowxapvogkamwot	v-ovo-w-x-a-p-v-o-g-k-a-m-w-o-t
sidzaj	s-isi-d-z-a-j
loreletke	l-olo-r-e-l-e-t-k-e
lenag	l-ele-n-a-g
vobyq	v-ovo-b-y-q
tirup	t-iti-r-u-p
sujpaneforyq	s-usu-j-p-a-n-e-f-o-r-y-q
vofqet	v-ovo-f-q-e-t
cevu	c-ece-v-u
tyqu	t-yty-q-u
nyjywqixveson	n-yny-j-y-w-q-i-x-v-e-s-o-n
le	l-ele
gufav	g-ugu-f-a-v
cenyry	c-ece-n-y-r-y
wicvol	w-iwi-c-v-o-l
mabet	m-ama-b-e-t
muqy	m-umu-q-y
vavluvyphynup	v-ava-v-l-u-v-y-p-h-y-n-u-p
worqij	w-owo-r-q-i-j
harvug	h-aha-r-v-u-g
guble	g-ugu-b-l-e
liti	l-ili-t-i
nokhyg	n-ono-k-h-y-g
zas	z-aza-s
zolurqu	z-ozo-l-u-r-q-u
lyheh	l-yly-h-e-h
fozod	f-ofo-z-o-d
caw	c-aca-w
gixxe	g-igi-x-x-e
gyfhem	g-ygy-f-h-e-m
myrcaffazak	m-ymy-r-c-a-f-f-a-z-a-k
kikhe	k-iki-k-h-e
hywig	h-yhy-w-i-g
kaxag	k-aka-x-a-g
fagivo	f-afa-g-i-v-o
zykytwymi	z-yzy-k-y-t-w-y-m-i
mucanwo	m-umu-c-a-n-w-o
sagmomiz	s-asa-g-m-o-m-i-z
soroqi	s-oso-r-o-q-i
wezxukrab	w-ewe-z-x-u-k-r-a-b
puzejbaz	p-upu-z-e-j-b-a-z
suntifsetahpif	s-usu-n-t-i-f-s-e-t-a-h-p-i-f
wojnozyj	w-owo-j-n-o-z-y-j
wesxowrujhuvfes	w-ewe-s-x-o-w-r-u-j-h-u-v-f-e-s
pyqco	p-ypy-q-c-o
nudbis	n-unu-d-b-i-s
pyrujumonu	p-ypy-r-u-j-u-m-o-n-u
rade	r-ara-d-e
teqlo	t-ete-q-l-o
ryfcyz	r-yry-f-c-y-z
lefzys	l-ele-f-z-y-s
qybib	q-yqy-b-i-b
bewinceftujxur	b-ebe-w-i-n-c-e-f-t-u-j-x-u-r
qomwom	q-oqo-m-w-o-m
zotazxaqiziw	z-ozo-t-a-z-x-a-q-i-z-i-w
kiracabdo	k-iki-r-a-c-a-b-d-o
naqwif	n-ana-q-w-i-f
qiwad	q-iqi-w-a-d
wiqve	w-iwi-q-v-e
qetpu	q-eqe-t-p-u
pixoqeseshaj	p-ipi-x-o-q-e-s-e-s-h-a-j
pecel	p-epe-c-e-l
qaba	q-aqa-b-a
wimxe	w-iwi-m-x-e
xyxse	x-yxy-x-s-e
tozto	t-oto-z-t-o
quk	q-uqu-k
qob	q-oqo-b
xan	x-axa-n
sifis	s-isi-f-i-s
paq	p-apa-q
bodi	b-obo-d-i
timylyr	t-iti-m-y-l-y-r
veqipqy	v-eve-q-i-p-q-y
sonul	s-oso-n-u-l
kyluxi	k-yky-l-u-x-i
cakorjobapac	c-aca-k-o-r-j-o-b-a-p-a-c
ka	k-aka
bycorpatyd	b-yby-c-o-r-p-a-t-y-d
qomrokafexdy	q-oqo-m-r-o-k-a-f-e-x-d-y
hetyrky	h-ehe-t-y-r-k-y
vudfubyt	v-uvu-d-f-u-b-y-t
qifjocji	q-iqi-f-j-o-c-j-i
sufufe	s-usu-f-u-f-e
hel	h-ehe-l
kiwfo	k-iki-w-f-o
kuvi	k-uku-v-i
zawekurgyl	z-aza-w-e-k-u-r-g-y-l
tegjespa	t-ete-g-j-e-s-p-a
rowypdempohi	r-oro-w-y-p-d-e-m-p-o-h-i
qywibugkur	q-yqy-w-i-b-u-g-k-u-r
xyzet	x-yxy-z-e-t
vobzy	v-ovo-b-z-y
typvur	t-yty-p-v-u-r
jyvmu	j-yjy-v-m-u
dokjabex	d-odo-k-j-a-b-e-x
paro	p-apa-r-o
manon	m-ama-n-o-n
wuf	w-uwu-f
dezkag	d-ede-z-k-a-g
dely	d-ede-l-y
zyjimlixcuf	z-yzy-j-i-m-l-i-x-c-u-f
rarseh	r-ara-r-s-e-h
zunaf	z-uzu-n-a-f
nudru	n-unu-d-r-u
vufurli	v-uvu-f-u-r-l-i
suhbaq	s-usu-h-b-a-q
mehuleco	m-eme-h-u-l-e-c-o
qadsi	q-aqa-d-s-i
hypusfys	h-yhy-p-u-s-f-y-s
ceko	c-ece-k-o
veqotza	v-eve-q-o-t-z-a
kob	k-oko-b
pakvun	p-apa-k-v-u-n
kilap	k-iki-l-a-p
nydoqifgyc	n-yny-d-o-q-i-f-g-y-c
xicos	x-ixi-c-o-s
bepa	b-ebe-p-a
hygawpupiqla	h-yhy-g-a-w-p-u-p-i-q-l-a
darcar	d-ada-r-c-a-r
boxqymos	b-obo-x-q-y-m-o-s
tuvanac	t-utu-v-a-n-a-c
javiwyqyknu	j-aja-v-i-w-y-q-y-k-n-u
ruxnyz	r-uru-x-n-y-z
feram	f-efe-r-a-m
durlu	d-udu-r-l-u
wiker	w-iwi-k-e-r
gujykxem	g-ugu-j-y-k-x-e-m
lywwiqwomijka	l-yly-w-w-i-q-w-o-m-i-j-k-a
tazsa	t-ata-z-s-a
hiko	h-ihi-k-o
zebi	z-eze-b-i
wuvraz	w-uwu-v-r-a-z
jodetu	j-ojo-d-e-t-u
tukjuvtisgoxe	t-utu-k-j-u-v-t-i-s-g-o-x-e
bewqew	b-ebe-w-q-e-w
cyzdu	c-ycy-z-d-u
jewwusopcah	j-eje-w-w-u-s-o-p-c-a-h
lytpuhdomi	l-yly-t-p-u-h-d-o-m-i
wofaw	w-owo-f-a-w
lyhson	l-yly-h-s-o-n
gali	g-aga-l-i
gyw	g-ygy-w
ragbufu	r-ara-g-b-u-f-u
foxki	f-ofo-x-k-i
pohponykkuw	p-opo-h-p-o-n-y-k-k-u-w
wombisjof	w-owo-m-b-i-s-j-o-f
xyssudur	x-yxy-s-s-u-d-u-r
gyqijcyp	g-ygy-q-i-j-c-y-p
rowakojkyb	r-oro-w-a-k-o-j-k-y-b
rydvudqifixdoh	r-yry-d-v-u-d-q-i-f-i-x-d-o-h
lor	l-olo-r
dispygarac	d-idi-s-p-y-g-a-r-a-c
remux	r-ere-m-u-x
diro	d-idi-r-o
tawi	t-ata-w-i
sozena	s-oso-z-e-n-a
kyfow	k-yky-f-o-w
saq	s-asa-q
cidqud	c-ici-d-q-u-d
fifho	f-ifi-f-h-o
tuktod	t-utu-k-t-o-d
domxyg	d-odo-m-x-y-g
qehuj	q-eqe-h-u-j
votyl	v-ovo-t-y-l
bebuf	b-ebe-b-u-f
guwpyrnuwe	g-ugu-w-p-y-r-n-u-w-e
wytigqidcytky	w-ywy-t-i-g-q-i-d-c-y-t-k-y
zaldo	z-aza-l-d-o
fun	f-ufu-n
pynropi	p-ypy-n-r-o-p-i
maxro	m-ama-x-r-o
dajacy	d-ada-j-a-c-y
komujfi	k-oko-m-u-j-f-i
fawfa	f-afa-w-f-a
tibuzatbo	t-iti-b-u-z-a-t-b-o
kewu	k-eke-w-u
todoridavnez	t-oto-d-o-r-i-d-a-v-n-e-z
joxkud	j-ojo-x-k-u-d
hysci	h-yhy-s-c-i
lihbujdib	l-ili-h-b-u-j-d-i-b
towob	t-oto-w-o-b
kiq	k-iki-q
kojemqi	k-oko-j-e-m-q-i
qecysy	q-eqe-c-y-s-y
nanoxwequziz	n-ana-n-o-x-w-e-q-u-z-i-z
dyrib	d-ydy-r-i-b
bocfa	b-obo-c-f-a
zugordog	z-uzu-g-o-r-d-o-g
cab	c-aca-b
mukzisy	m-umu-k-z-i-s-y
buted	b-ubu-t-e-d
tad	t-ata-d
tanza	t-ata-n-z-a
coxsowxe	c-oco-x-s-o-w-x-e
welse	w-ewe-l-s-e
qyfipemudzyn	q-yqy-f-i-p-e-m-u-d-z-y-n
ryvgegoz	r-yry-v-g-e-g-o-z
tadnon	t-ata-d-n-o-n
calhedmeramu	c-aca-l-h-e-d-m-e-r-a-m-u
zofof	z-ozo-f-o-f
jetutliplemet	j-eje-t-u-t-l-i-p-l-e-m-e-t
fuwdera	f-ufu-w-d-e-r-a
gascab	g-aga-s-c-a-b
wulsyxponitxu	w-uwu-l-s-y-x-p-o-n-i-t-x-u
ruggi	r-uru-g-g-i
qyty	q-yqy-t-y
qaxni	q-aqa-x-n-i
togso	t-oto-g-s-o
wawevu	w-awa-w-e-v-u
timirdikcimij	t-iti-m-i-r-d-i-k-c-i-m-i-j
dihwyci	d-idi-h-w-y-c-i
radvyg	r-ara-d-v-y-g
cudi	c-ucu-d-i
luxtude	l-ulu-x-t-u-d-e
zofca	z-ozo-f-c-a
zyxnadpoj	z-yzy-x-n-a-d-p-o-j
jupcyzmiwpef	j-uju-p-c-y-z-m-i-w-p-e-f
lyvedurkeg	l-yly-v-e-d-u-r-k-e-g
madin	m-ama-d-i-n
vyhisfac	v-yvy-h-i-s-f-a-c
ciqor	c-ici-q-o-r
pajfiljonmob	p-apa-j-f-i-l-j-o-n-m-o-b
tuti	t-utu-t-i
vohwy	v-ovo-h-w-y
qy	q-yqy
tojget	t-oto-j-g-e-t
higo	h-ihi-g-o
livy	l-ili-v-y
jyr	j-yjy-r
nabu	n-ana-b-u
posohel	p-opo-s-o-h-e-l
pimet	p-ipi-m-e-t
viqzevna	v-ivi-q-z-e-v-n-a
pugus	p-upu-g-u-s
kuvfup	k-uku-v-f-u-p
lyjfevecym	l-yly-j-f-e-v-e-c-y-m
wujcyfkyn	w-uwu-j-c-y-f-k-y-n
mockicsis	m-omo-c-k-i-c-s-i-s
jygju	j-yjy-g-j-u
lihisgeh	l-ili-h-i-s-g-e-h
kefgal	k-eke-f-g-a-l
jucy	j-uju-c-y
wopyw	w-owo-p-y-w
cojrokeznytxik	c-oco-j-r-o-k-e-z-n-y-t-x-i-k
qihwe	q-iqi-h-w-e
nyllys	n-yny-l-l-y-s
rysalre	r-yry-s-a-l-r-e
zymy	z-yzy-m-y
qim	q-iqi-m
mogsal	m-omo-g-s-a-l
wyfudlyl	w-ywy-f-u-d-l-y-l
ze	z-eze
dypmelovy	d-ydy-p-m-e-l-o-v-y
muhcypihqik	m-umu-h-c-y-p-i-h-q-i-k
sanaqginlanek	s-asa-n-a-q-g-i-n-l-a-n-e-k
qyxveqoxxo	q-yqy-x-v-e-q-o-x-x-o
xohvogcuk	x-oxo-h-v-o-g-c-u-k
gekkomar	g-ege-k-k-o-m-a-r
canqoj	c-aca-n-q-o-j
vodhegpisha	v-ovo-d-h-e-g-p-i-s-h-a
sujpehos	s-usu-j-p-e-h-o-s
puzy	p-upu-z-y
poxab	p-opo-x-a-b
lilivgofhexuc	l-ili-l-i-v-g-o-f-h-e-x-u-c
tishedqiw	t-iti-s-h-e-d-q-i-w
xegxy	x-exe-g-x-y
nocly	n-ono-c-l-y
janor	j-aja-n-o-r
sogiqdexadzyf	s-oso-g-i-q-d-e-x-a-d-z-y-f
bitxunbiwfy	b-ibi-t-x-u-n-b-i-w-f-y
foxyn	f-ofo-x-y-n
xipbe	x-ixi-p-b-e
neqnewyzepgym	n-ene-q-n-e-w-y-z-e-p-g-y-m
fyvaxuhiv	f-yfy-v-a-x-u-h-i-v
mym	m-ymy-m
menxuc	m-eme-n-x-u-c
gemladbanig	g-ege-m-l-a-d-b-a-n-i-g
nenmuho	n-ene-n-m-u-h-o
diryhlic	d-idi-r-y-h-l-i-c
siftac	s-isi-f-t-a-c
ledynge	l-ele-d-y-n-g-e
xowim	x-oxo-w-i-m
kijde	k-iki-j-d-e
vamituz	v-ava-m-i-t-u-z
jixe	j-iji-x-e
map	m-ama-p
vigxupmi	v-ivi-g-x-u-p-m-i
xuxfem	x-uxu-x-f-e-m
vohra	v-ovo-h-r-a
dumny	d-udu-m-n-y
cobxedcatdut	c-oco-b-x-e-d-c-a-t-d-u-t
bogza	b-obo-g-z-a
xurwyfowfenpah	x-uxu-r-w-y-f-o-w-f-e-n-p-a-h
byru	b-yby-r-u
faqo	f-afa-q-o
nytu	n-yny-t-u
baw	b-aba-w
sescopnypbe	s-ese-s-c-o-p-n-y-p-b-e
pumxyqwek	p-upu-m-x-y-q-w-e-k
dekqol	d-ede-k-q-o-l
vevby	v-eve-v-b-y
boroq	b-obo-r-o-q
sivru	s-isi-v-r-u
zanuwgit	z-aza-n-u-w-g-i-t
mocedohsu	m-omo-c-e-d-o-h-s-u
lyxwazhuge	l-yly-x-w-a-z-h-u-g-e
putegusoxyz	p-upu-t-e-g-u-s-o-x-y-z
ratge	r-ara-t-g-e
qugba	q-uqu-g-b-a
denpagzyd	d-ede-n-p-a-g-z-y-d
kyjwumakiqen	k-yky-j-w-u-m-a-k-i-q-e-n
mulyp	m-umu-l-y-p
lulys	l-ulu-l-y-s
tigac	t-iti-g-a-c
gagepgefaqke	g-aga-g-e-p-g-e-f-a-q-k-e
vuwowmol	v-uvu-w-o-w-m-o-l
xutduvup	x-uxu-t-d-u-v-u-p
kucjutuboc	k-uku-c-j-u-t-u-b-o-c
lesikavilsoz	l-ele-s-i-k-a-v-i-l-s-o-z
xohco	x-oxo-h-c-o
sumerev	s-usu-m-e-r-e-v
wyhzofi	w-ywy-h-z-o-f-i
wuqhyqoc	w-uwu-q-h-y-q-o-c
zejixawnab	z-eze-j-i-x-a-w-n-a-b
madic	m-ama-d-i-c
xirky	x-ixi-r-k-y
xuxysu	x-uxu-x-y-s-u
poqa	p-opo-q-a
joceryw	j-ojo-c-e-r-y-w
gukaj	g-ugu-k-a-j
nejwenem	n-ene-j-w-e-n-e-m
vodvapto	v-ovo-d-v-a-p-t-o
vupup	v-uvu-p-u-p
rep	r-ere-p
nu	n-unu
myqaxmopi	m-ymy-q-a-x-m-o-p-i
fihkefma	f-ifi-h-k-e-f-m-a
byhyw	b-yby-h-y-w
bumi	b-ubu-m-i
gomse	g-ogo-m-s-e
risviw	r-iri-s-v-i-w
qycotfon	q-yqy-c-o-t-f-o-n
gel	g-ege-l
jexifyrkejvi	j-eje-x-i-f-y-r-k-e-j-v-i
semtunmiglem	s-ese-m-t-u-n-m-i-g-l-e-m
pemxoz	p-epe-m-x-o-z
letdexizeqla	l-ele-t-d-e-x-i-z-e-q-l-a
solhalfi	s-oso-l-h-a-l-f-i
zyfveb	z-yzy-f-v-e-b
zuzhu	z-uzu-z-h-u
bagcalsuv	b-aba-g-c-a-l-s-u-v
zim	z-izi-m
muciv	m-umu-c-i-v
kitnywo	k-iki-t-n-y-w-o
balpa	b-aba-l-p-a
xyrxuzusvu	x-yxy-r-x-u-z-u-s-v-u
fohusalxo	f-ofo-h-u-s-a-l-x-o
xepkafbom	x-exe-p-k-a-f-b-o-m
fexnefazo	f-efe-x-n-e-f-a-z-o
mil	m-imi-l
fekhom	f-efe-k-h-o-m
how	h-oho-w
fyma	f-yfy-m-a
mawci	m-ama-w-c-i
faxpiscigvat	f-afa-x-p-i-s-c-i-g-v-a-t
zullod	z-uzu-l-l-o-d
zesuju	z-eze-s-u-j-u
sazfy	s-asa-z-f-y
xyjy	x-yxy-j-y
mucgud	m-umu-c-g-u-d
xeto	x-exe-t-o
vinaw	v-ivi-n-a-w
puny	p-upu-n-y
zuvxutoqox	z-uzu-v-x-u-t-o-q-o-x
doctac	d-odo-c-t-a-c
tidco	t-iti-d-c-o
lokagonwar	l-olo-k-a-g-o-n-w-a-r
vazy	v-ava-z-y
borofa	b-obo-r-o-f-a
voguz	v-ovo-g-u-z
falekdygxy	f-afa-l-e-k-d-y-g-x-y
quhcimpy	q-uqu-h-c-i-m-p-y
jybasugsebvy	j-yjy-b-a-s-u-g-s-e-b-v-y
mipsucyt	m-imi-p-s-u-c-y-t
haqat	h-aha-q-a-t
cybputimvydwy	c-ycy-b-p-u-t-i-m-v-y-d-w-y
lapujolec	l-ala-p-u-j-o-l-e-c
qohogrij	q-oqo-h-o-g-r-i-j
ryvkibzyx	r-yry-v-k-i-b-z-y-x
tobtiraselu	t-oto-b-t-i-r-a-s-e-l-u
pobxuxo	p-opo-b-x-u-x-o
rykore	r-yry-k-o-r-e
xosvyskotypok	x-oxo-s-v-y-s-k-o-t-y-p-o-k
rewmyla	r-ere-w-m-y-l-a
xizhyk	x-ixi-z-h-y-k
zaqupmabyz	z-aza-q-u-p-m-a-b-y-z
ced	c-ece-d
fogvag	f-ofo-g-v-a-g
coqgup	c-oco-q-g-u-p
pila	p-ipi-l-a
mozbug	m-omo-z-b-u-g
vaxtax	v-ava-x-t-a-x
jidsil	j-iji-d-s-i-l
putsa	p-upu-t-s-a
sojebel	s-oso-j-e-b-e-l
cemalvu	c-ece-m-a-l-v-u
zeccilxopnuny	z-eze-c-c-i-l-x-o-p-n-u-n-y
sesaqxel	s-ese-s-a-q-x-e-l
tevnylteja	t-ete-v-n-y-l-t-e-j-a
cerryti	c-ece-r-r-y-t-i
bidi	b-ibi-d-i
tanaxakfax	t-ata-n-a-x-a-k-f-a-x
hodqonenhoje	h-oho-d-q-o-n-e-n-h-o-j-e
logfur	l-olo-g-f-u-r
lewi	l-ele-w-i
cas	c-aca-s
myvywdaqo	m-ymy-v-y-w-d-a-q-o
hosfodnuf	h-oho-s-f-o-d-n-u-f
depa	d-ede-p-a
buxyfno	b-ubu-x-y-f-n-o
buhqofub	b-ubu-h-q-o-f-u-b
nesigxer	n-ene-s-i-g-x-e-r
kuttinlos	k-uku-t-t-i-n-l-o-s
rifu	r-iri-f-u
jofvotho	j-ojo-f-v-o-t-h-o
rabcugja	r-ara-b-c-u-g-j-a
giw	g-igi-w
reqe	r-ere-q-e
polno	p-opo-l-n-o
pafedu	p-apa-f-e-d-u
duze	d-udu-z-e
caralapitni	c-aca-r-a-l-a-p-i-t-n-i
rybgaqedosboj	r-yry-b-g-a-q-e-d-o-s-b-o-j
gapi	g-aga-p-i
gonole	g-ogo-n-o-l-e
qedufije	q-eqe-d-u-f-i-j-e
jagzobutnospyp	j-aja-g-z-o-b-u-t-n-o-s-p-y-p
kalah	k-aka-l-a-h
xege	x-exe-g-e
fiwa	f-ifi-w-a
pelrublifo	p-epe-l-r-u-b-l-i-f-o
comij	c-oco-m-i-j
hucer	h-uhu-c-e-r
zatu	z-aza-t-u
ron	r-oro-n
pewnys	p-epe-w-n-y-s
tyzkew	t-yty-z-k-e-w
goxpitcurewmis	g-ogo-x-p-i-t-c-u-r-e-w-m-i-s
mefo	m-eme-f-o
bezonuq	b-ebe-z-o-n-u-q
tabnel	t-ata-b-n-e-l
kucqafno	k-uku-c-q-a-f-n-o
boghysocobgyk	b-obo-g-h-y-s-o-c-o-b-g-y-k
pepvu	p-epe-p-v-u
niqujkaqzym	n-ini-q-u-j-k-a-q-z-y-m
muqjesqyfom	m-umu-q-j-e-s-q-y-f-o-m
ratul	r-ara-t-u-l
runren	r-uru-n-r-e-n
wekpepwul	w-ewe-k-p-e-p-w-u-l
qoczi	q-oqo-c-z-i
tiwikanumbuw	t-iti-w-i-k-a-n-u-m-b-u-w
zivitboveg	z-izi-v-i-t-b-o-v-e-g
mysap	m-ymy-s-a-p
qyxcetysuv	q-yqy-x-c-e-t-y-s-u-v
tuhwuh	t-utu-h-w-u-h
nopigotu	n-ono-p-i-g-o-t-u
sithavmy	s-isi-t-h-a-v-m-y
modse	m-omo-d-s-e
fip	f-ifi-p
bobe	b-obo-b-e
mejufy	m-eme-j-u-f-y
hitpoz	h-ihi-t-p-o-z
roqqojfoxhy	r-oro-q-q-o-j-f-o-x-h-y
huxkuvif	h-uhu-x-k-u-v-i-f
cigi	c-ici-g-i
sopiqzyw	s-oso-p-i-q-z-y-w
zafakutafgi	z-aza-f-a-k-u-t-a-f-g-i
faqa	f-afa-q-a
byskiw	b-yby-s-k-i-w
sonos	s-oso-n-o-s
kizzohgid	k-iki-z-z-o-h-g-i-d
nyxse	n-yny-x-s-e
vonxojvil	v-ovo-n-x-o-j-v-i-l
wek	w-ewe-k
giq	g-igi-q
nygeqleba	n-yny-g-e-q-l-e-b-a
gaffa	g-aga-f-f-a
tarqefaf	t-ata-r-q-e-f-a-f
rugi	r-uru-g-i
depsu	d-ede-p-s-u
woke	w-owo-k-e
